mem_id,trans_id,similar_trans,desc,date_diff,date_var,amt,cat,discret,sub,label
1.00E+15,1.00E+16,10002812211453200|10002812214057100|10002812226726000|10002812226723800|10002812227683600|10002812237504000|10002812237504000|10002812251089000|10002812266126300,interestchargepurchases,1.89,3.99,4.69,Interest,FALSE,FALSE,0
9.71E+17,4.87E+18,4.87E+18,draftwithdrawaldishnetworkonetimedishnetworkonetcoustrace,0,NA,39.29,Cable/Satellite Services,FALSE,FALSE,0
9.71E+17,-8.74E+18,-8736738853260420000|-8736738853254920000|-8736738853251260000|-8736738853244740000|-8736738853240270000|-8736738853229940000|-8736738853226360000|-8736738853182390000,paymentmadeattargethawthorneca,2.39,6.64,2.56,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812422934900|10002812426856400|10002812431379200,transferselfservicetransfer,2.1,4.09,267.44,Transfers,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004267869800|10000004267869800|10000004267848900|10000004267869800|10000004267971500|10000004267971600|10000004267971600|10000004267971600|10000004268090800|10000004268138100|10000004268209700|10000004268301400|10000004268301300|10000004268301300|10000004268301300|10000004268348200|10000004268387800|10000004268645600|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645500|10000004268645600|10000004268813700|10000004268826300|10000004268900800|10000004269222200|10000004269337900|10000004269434700|10000004269543000|10000004269543000|10000004269543000|10000004269543100|10000004269751200|10000004269874300|10000004269874300|10000004269874300|10000004269880100|10000004269945200|10000004269988800|10000004269988700|10000004269988700|10000004270055500|10000004270135900|10000004270135900|10000004270135900|10000004270503000|10000004270667100|10000004272487000|10000004270667100|10000004270860600|10000004272487000|10000004270860600|10000004271095500|10000004271095500|10000004272487000|10000004272487000|10000004271194100|10000004271257900|10000004271361600|10000004272487000|10000004271361700|10000004271361700|10000004271509800|10000004272487000|10000004271509800|10000004272487000|10000004272487000|10000004272487000|10000004271633100|10000004271633100|10000004272487000|10000004272487000|10000004271782500|10000004271782400|10000004272487000|10000004271832900|10000004272487000|10000004272143000|10000004272294700|10000004272487000|10000004272294600|10000004272402700|10000004272486900|10000004272492900|10000004272572100|10000004272720900|10000004272859800|10000004272859700|10000004272859500|10000004272910500|10000004272938400|10000004272954600|10000004273031600|10000004273116700|10000004273120200|10000004273166900|10000004273204600|10000004273401200|10000004273587000|10000004273669000|10000004273669000|10000004273669000|10000004273669000|10000004273717500|10000004273844400|10000004273938100|10000004273938100|10000004273938100,purchaseauthorizedonaplitunescombicascard,0.17,0.06,8.59,Entertainment,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,blkislamicreliefusaca,0,NA,90,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396564698400|10008396597469100,lowestucsonazusa,2,8,13.49,Home Improvement,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004274037800|10000004274037800,eventticketinsurancva,0,0,0.16,Insurance,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004270055500|10000004270135800|10000004272531500|10000004270667100|10000004270737100|10000004272531500|10000004272531500|10000004270737100|10000004272531400|10000004272531400|10000004271318300|10000004271318300|10000004272531400|10000004271424400|10000004272531400|10000004271594700|10000004272492900|10000004272531400|10000004272859700|10000004273043600|10000004273333700|10000004273753600|10000004273888600,purchaseauthorizedonimaginenokiasunnyvalecascard,0.53,0.5,0.9,Telephone Services,FALSE,FALSE,0
9.71E+17,-8.74E+18,-8736738853281840000|-8736738853275050000|-8736738853272380000|-8736738853272380000|-8736738853263440000|-8736738853262670000|-8736738853260420000|-8736738853258230000|-8736738853258230000|-8736738853251530000|-8736738853242640000|-8736738853234680000|-87,onlinepaymentthankyou,0.84,1.48,57.88,Credit Card Payments,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812369142200|10002812378407100|10002812392503500|10002812398451500|10002812407078200|10002812413908100|10002812415814500|10002812419221000|10002812420345100|10002812423783100|10002812425794200,frostatmdebitvlcardtronicsccsbsanbenitotcard,1.17,0.73,26.18,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,purchaseatnorthdallasstore,0.14,NA,23.4,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,stelladotca,1.71,NA,0.01,Clothing/Shoes,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,dalesnaturalfoods,4,NA,3.01,Groceries,FALSE,FALSE,0
1.00E+15,1.00E+17,1.00E+17,snakmarthoustontusa,3.71,NA,8.36,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,capitalonemobilepymtauthdatefeb,2.57,NA,33.33,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,purchaseauthorizedonwjbradleycompanycoscard,4,NA,6.53,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,timhortonsburtonmi,0.14,NA,1.46,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,fromsharerefciuhoaandtaessavings,0,NA,0,Taxes,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004269543000|10000004270927500|10000004271556200|10000004272572300|10000004273717400,ameepaymentachpmt,3.71,1.74,98.53,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,10000004268348100|10000004268387800|10000004268535300|10000004268900800|10000004269683500|10000004272402600|10000004272531400|10000004272531400|10000004272402600|10000004272624500,purchaseauthorizedonbumblelosaltoscascard,1.3,5.96,13.13,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004271554400|10000004273245800,walgreensnrocherochestermi,8.14,16.33,5.02,Healthcare/Medical,FALSE,FALSE,0
1.00E+15,1.00E+16,10012356839550900|10012356894340700,depositdividendtieredrateind,4.36,0.01,3.93,Deposits,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396483114000|10008396498522900|10008396508958500|10008396515265700|10008396519041500,thehomedepot,0.91,0.52,79.31,Home Improvement,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812435589800|10002812439048000,checkcardstarbuckschicagchicagoil,0.5,0.5,0.01,Restaurants/Dining,FALSE,TRUE,0
1.00E+15,1.00E+16,10002812222799400|10002812233134500|10002812239623400|10002812269411800,webstudiomoviedallas,4.04,11.69,0.02,Entertainment,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,debitpurchasewmsupercentermeridianid,2.57,NA,69.92,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812235481600|10002812240696000|10002812240696000|10002812243149400|10002812253538000|10002812253538000|10002812258658100,capitalonemobilepymtauthdatemar,0.96,1.44,12.92,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,purchaseauthorizedonslandmarkphphoeniazscard,0,NA,0,Entertainment,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,electronicachcreditcapitalonenacapitalone,0,NA,11.11,Credit Card Payments,FALSE,FALSE,0
1.00E+15,1.00E+18,1.00E+18,withdrawaltplanolegacydrhgus,0,NA,0,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396487130900|10008396518451200|10008396553711600|10008396562117800|10008396565939300|10008396569408800,panerabreadraleigh,1.93,3.26,4.89,Restaurants/Dining,FALSE,FALSE,0
9.71E+17,4.87E+18,4.87E+18,storepurchasecostcowhse,0,NA,0,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396744644600|10008396781901700|10008396796912500|10008396842898300|10008396851895900|10008396887169500|10008396902968500,capitalonecrcardpmtwebid,2.43,1.33,23.45,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,10002812418182500|10002812421435100|10002812422784500|10002812422784500|10002812423452000|10002812423452000|10002812423452000|10002812430418700|10002812431185300|10002812431185300|10002812433236300|10002812441929900|10002812445290600|10002812446012800,check,0.43,0.37,6980.76,Checks,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004272572200|10000004273592100,mcdonaldsfofordmi,2.79,1.23,6.42,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396733366300|10008396740949700|10008396740949700|10008396743312800|10008396781559000|10008396781559000|10008396817481500|10008396838506400|10008396842205000|10008396853092300|10008396856796300|10008396869349300|10008396889336500|10008396906338600|10008396917578900,cardmemberservwebpymtwebid,1.23,1.27,164.56,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,10008396729550100|10008396778443600|10008396785799600,electronicachdebitamericanepress,1.67,4.09,119.07,Credit Card Payments,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,sunocoqpswatertownmacard,0,NA,0,Gasoline/Fuel,FALSE,FALSE,0
